N1,N2,N3,N4,N5,N6,N7
8,0,1,5,1,6,1
23,1,6,8,0,5,0
50,11,8,8,2,7,9
176,8,13,30,7,21,11
219,19,21,56,11,26,15
209,9,28,59,12,36,21
197,19,27,62,10,43,22
144,10,15,39,12,21,12
191,15,29,61,15,39,30
200,14,27,37,10,48,32
147,17,32,47,17,52,28
149,12,36,52,9,41,30
141,15,32,37,14,46,20
114,8,22,32,5,51,19
104,4,8,25,5,29,15
72,0,12,22,9,26,16
52,5,11,16,6,23,7
31,2,10,9,5,19,10
20,2,5,11,3,11,5
15,3,4,6,2,12,8
20,1,2,4,1,4,2
21,0,3,2,2,7,3
7,0,3,4,2,7,2
12,2,3,3,4,4,4
9,1,2,2,1,2,1
18,4,1,4,2,3,1
81,6,6,9,8,3,4
161,6,14,24,5,18,6
205,14,24,60,6,36,9
231,14,28,60,14,39,23
186,14,29,59,8,42,23
147,15,31,45,12,39,18
200,25,32,33,13,37,21
191,15,37,51,9,41,24
175,14,27,56,10,47,31
184,17,37,52,17,60,14
167,12,26,55,14,50,27
113,9,17,36,7,39,19
101,8,20,23,4,32,16
60,4,14,17,7,25,9
66,7,15,25,7,27,6
35,2,11,19,6,24,11
25,3,6,5,6,6,5
